Route Distance (km),Route Duration (min),Transportation Mode,Make,Model,Fuel Type,Engine Specs,Fuel Efficiency (km/L),Vehicle CO2 Emissions (g/km),Traffic Information,Elevation Data (m),Road Types,Estimated CO2 Emissions (g/km) for trip
30,45,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.3,24,113,Moderate traffic,80,Local road,79.65
50,75,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,18.5,122,Light traffic,120,Hill road,83.24
35,52,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,22,123,Normal traffic,90,Highway,88.33
55,83,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,19,128,Moderate traffic,110,Local road,93.75
25,37,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.3,23.5,115,Heavy traffic,60,Hill road,84.68
60,90,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,20,135,Light traffic,140,Hill road,108
20,30,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.3,22.5,120,Normal traffic,70,Local road,86.67
42,63,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,17,140,Moderate traffic,110,Hill road,100
28,42,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,24.5,110,Light traffic,80,Hill road,78.46
52,78,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,18,133,Normal traffic,120,Highway,88.89
33,50,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.3,20,135,Heavy traffic,70,Local road,108
48,72,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,16.5,145,Moderate traffic,100,Hill road,90.91
38,57,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,21,130,Light traffic,90,Local road,96.15
58,87,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,19.8,129,Normal traffic,130,Hill road,92.12
36,54,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.3,21.5,127,Heavy traffic,80,Highway,89.77
43,64,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,17.5,138,Moderate traffic,120,Hill road,99.43
22,33,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.5,23,117,Light traffic,50,Local road,88.33
47,70,Car,Maruti Suzuki,Vitara Brezza,Petrol,1.5,16,150,Normal traffic,110,Hill road,96
31,46,Car,Maruti Suzuki,Vitara Brezza,Diesel,1.3,19,128,Heavy traffic,70,Local road,93.75
25,35,Car,Maruti Suzuki,Alto,Petrol,0.8,22,123,Heavy traffic,50,Hill road,86.81
20,30,Car,Maruti Suzuki,Alto,Petrol,1,24,113,Moderate traffic,60,Local road,79.65
30,45,Car,Maruti Suzuki,Alto,Petrol,0.8,21.5,127,Light traffic,70,Hill road,89.77
15,25,Car,Maruti Suzuki,Alto,Petrol,1,23.5,115,Normal traffic,40,Highway,84.68
35,50,Car,Maruti Suzuki,Alto,Petrol,0.8,20.5,132,Moderate traffic,80,Local road,100.91
18,28,Car,Maruti Suzuki,Alto,Petrol,0.8,22.5,120,Light traffic,45,Hill road,86.67
22,35,Car,Maruti Suzuki,Alto,Petrol,1,24.5,110,Heavy traffic,55,Hill road,78.46
28,40,Car,Maruti Suzuki,Alto,Petrol,0.8,21,130,Normal traffic,65,Local road,96.15
32,48,Car,Maruti Suzuki,Alto,Petrol,0.8,20,135,Heavy traffic,75,Hill road,108
26,38,Car,Maruti Suzuki,Alto,Petrol,1,25,108,Moderate traffic,50,Highway,77.13
20,30,Car,Maruti Suzuki,Alto,Petrol,0.8,23,117,Light traffic,40,Local road,88.33
24,36,Car,Maruti Suzuki,Alto,Petrol,0.8,22,123,Normal traffic,45,Hill road,83.24
18,30,Car,Maruti Suzuki,Alto,Petrol,0.8,22.5,120,Heavy traffic,35,Local road,86.67
30,45,Car,Maruti Suzuki,Alto,Petrol,1,24,113,Moderate traffic,60,Hill road,79.65
35,50,Car,Maruti Suzuki,Alto,Petrol,0.8,20.5,132,Light traffic,80,Local road,100.91
28,42,Car,Maruti Suzuki,Alto,Petrol,1,23.5,115,Normal traffic,70,Hill road,84.68
22,33,Car,Maruti Suzuki,Alto,Petrol,0.8,23,117,Light traffic,50,Local road,88.33
28,42,Car,Maruti Suzuki,Alto,Petrol,1,24.5,110,Moderate traffic,60,Hill road,78.46
25,35,Car,Maruti Suzuki,Alto,Petrol,0.8,22,123,Heavy traffic,50,Hill road,86.81
20,30,Car,Maruti Suzuki,Alto,Petrol,1,24,113,Moderate traffic,60,Local road,79.65
30,45,Car,Maruti Suzuki,Celerio,Petrol,1,23,117,Heavy traffic,70,Hill road,86.67
25,35,Car,Maruti Suzuki,Celerio,Petrol,1,24,113,Moderate traffic,60,Local road,79.65
35,50,Car,Maruti Suzuki,Celerio,Petrol,1,22,123,Light traffic,80,Hill road,91.35
20,30,Car,Maruti Suzuki,Celerio,Petrol,1,25,108,Normal traffic,50,Highway,77.13
40,60,Car,Maruti Suzuki,Celerio,Petrol,1,20,135,Moderate traffic,90,Local road,100
15,25,Car,Maruti Suzuki,Celerio,Petrol,1,26,104,Heavy traffic,40,Hill road,76.92
45,65,Car,Maruti Suzuki,Celerio,Petrol,1,21.5,127,Light traffic,100,Hill road,89.77
22,33,Car,Maruti Suzuki,Celerio,Petrol,1,24.5,110,Normal traffic,55,Hill road,78.46
38,55,Car,Maruti Suzuki,Celerio,Petrol,1,19.5,138,Moderate traffic,85,Local road,112.31
18,28,Car,Maruti Suzuki,Celerio,Petrol,1,27,100,Heavy traffic,45,Hill road,74.07
28,42,Car,Maruti Suzuki,Celerio,Petrol,1,23.5,115,Light traffic,65,Hill road,84.68
32,48,Car,Maruti Suzuki,Celerio,Petrol,1,22,123,Normal traffic,75,Highway,86.81
26,38,Car,Maruti Suzuki,Celerio,Petrol,1,25.5,106,Moderate traffic,55,Local road,75.89
42,60,Car,Maruti Suzuki,Celerio,Petrol,1,18.5,122,Heavy traffic,95,Hill road,95.14
23,35,Car,Maruti Suzuki,Celerio,Petrol,1,24.8,109,Light traffic,60,Local road,78.62
36,52,Car,Maruti Suzuki,Celerio,Petrol,1,21,130,Normal traffic,80,Hill road,96
19,30,Car,Maruti Suzuki,Celerio,Petrol,1,26.5,102,Heavy traffic,50,Hill road,73.11
30,45,Car,Maruti Suzuki,Celerio,Petrol,1,23,117,Moderate traffic,70,Local road,86.67
27,40,Car,Maruti Suzuki,Celerio,Petrol,1,24.3,111,Light traffic,65,Hill road,80.25
39,57,Car,Maruti Suzuki,Celerio,Petrol,1,19.2,137,Normal traffic,90,Highway,111.25
30,45,Car,Maruti Suzuki,Celerio,Diesel,1,25,108,Heavy traffic,70,Hill road,75.56
25,35,Car,Maruti Suzuki,Celerio,Diesel,1,26,104,Moderate traffic,60,Local road,76.92
35,50,Car,Maruti Suzuki,Celerio,Diesel,1,23,117,Light traffic,80,Hill road,82.05
20,30,Car,Maruti Suzuki,Celerio,Diesel,1,28,96,Normal traffic,50,Highway,71.43
40,60,Car,Maruti Suzuki,Celerio,Diesel,1,21,130,Moderate traffic,90,Local road,92.31
15,25,Car,Maruti Suzuki,Celerio,Diesel,1,29,93,Heavy traffic,40,Hill road,68.49
45,65,Car,Maruti Suzuki,Celerio,Diesel,1,22.5,120,Light traffic,100,Hill road,79.37
22,33,Car,Maruti Suzuki,Celerio,Diesel,1,27.5,105,Normal traffic,55,Hill road,74.12
38,55,Car,Maruti Suzuki,Celerio,Diesel,1,20,135,Heavy traffic,85,Local road,102.86
18,28,Car,Maruti Suzuki,Celerio,Diesel,1,30,90,Moderate traffic,45,Hill road,64.29
28,42,Car,Maruti Suzuki,Celerio,Diesel,1,25,108,Light traffic,65,Hill road,75.56
32,48,Car,Maruti Suzuki,Celerio,Diesel,1,23,117,Normal traffic,75,Highway,82.05
26,38,Car,Maruti Suzuki,Celerio,Diesel,1,27,100,Moderate traffic,55,Local road,74.07
42,60,Car,Maruti Suzuki,Celerio,Diesel,1,19.5,138,Heavy traffic,95,Hill road,95.14
23,35,Car,Maruti Suzuki,Celerio,Diesel,1,26.8,103,Light traffic,60,Local road,77.49
36,52,Car,Maruti Suzuki,Celerio,Diesel,1,22,123,Normal traffic,80,Hill road,86.81
19,30,Car,Maruti Suzuki,Celerio,Diesel,1,29.5,91,Heavy traffic,50,Hill road,67.02
30,45,Car,Maruti Suzuki,Celerio,Diesel,1,25,108,Moderate traffic,70,Local road,75.56
27,40,Car,Maruti Suzuki,Celerio,Diesel,1,26.3,104,Light traffic,65,Hill road,76.65
39,57,Car,Maruti Suzuki,Celerio,Diesel,1,20.3,134,Normal traffic,90,Highway,101.4
30,45,Car,Maruti Suzuki,S-Presso,Petrol,1,22,123,Heavy traffic,70,Hill road,86.81
25,35,Car,Maruti Suzuki,S-Presso,Petrol,1,23,117,Moderate traffic,60,Local road,79.65
35,50,Car,Maruti Suzuki,S-Presso,Petrol,1,21,130,Light traffic,80,Hill road,96
20,30,Car,Maruti Suzuki,S-Presso,Petrol,1,24,113,Normal traffic,50,Highway,84.68
40,60,Car,Maruti Suzuki,S-Presso,Petrol,1,20,135,Moderate traffic,90,Local road,100.91
15,25,Car,Maruti Suzuki,S-Presso,Petrol,1,25,108,Heavy traffic,40,Hill road,75.56
45,65,Car,Maruti Suzuki,S-Presso,Petrol,1,19.5,138,Light traffic,100,Hill road,102.86
22,33,Car,Maruti Suzuki,S-Presso,Petrol,1,24.5,110,Normal traffic,55,Hill road,78.46
38,55,Car,Maruti Suzuki,S-Presso,Petrol,1,18,140,Heavy traffic,85,Local road,105
18,28,Car,Maruti Suzuki,S-Presso,Petrol,1,26,104,Moderate traffic,45,Hill road,76.92
28,42,Car,Maruti Suzuki,S-Presso,Petrol,1,22.5,120,Light traffic,65,Hill road,79.37
32,48,Car,Maruti Suzuki,S-Presso,Petrol,1,21,130,Normal traffic,75,Highway,96
26,38,Car,Maruti Suzuki,S-Presso,Petrol,1,24.5,110,Moderate traffic,55,Local road,78.46
42,60,Car,Maruti Suzuki,S-Presso,Petrol,1,17.5,142,Heavy traffic,95,Hill road,107.14
23,35,Car,Maruti Suzuki,S-Presso,Petrol,1,23.8,118,Light traffic,60,Local road,88.14
36,52,Car,Maruti Suzuki,S-Presso,Petrol,1,20,135,Normal traffic,80,Hill road,100.91
19,30,Car,Maruti Suzuki,S-Presso,Petrol,1,25.5,106,Heavy traffic,50,Hill road,82.73
30,45,Car,Maruti Suzuki,S-Presso,Petrol,1,22,123,Moderate traffic,70,Local road,86.81
27,40,Car,Maruti Suzuki,S-Presso,Petrol,1,23.3,116,Light traffic,65,Hill road,81.88
39,57,Car,Maruti Suzuki,S-Presso,Petrol,1,18.8,141,Normal traffic,90,Highway,106.17
25,35,Car,Maruti Suzuki,S-Presso,Diesel,1.2,28,96,Moderate traffic,60,Local road,71.43
35,50,Car,Maruti Suzuki,S-Presso,Diesel,1.2,24,113,Light traffic,80,Hill road,84.68
20,30,Car,Maruti Suzuki,S-Presso,Diesel,1.2,30,80,Normal traffic,50,Highway,60
40,60,Car,Maruti Suzuki,S-Presso,Diesel,1.2,22,123,Moderate traffic,90,Local road,86.81
15,25,Car,Maruti Suzuki,S-Presso,Diesel,1.2,31,77,Heavy traffic,40,Hill road,58.71
45,65,Car,Maruti Suzuki,S-Presso,Diesel,1.2,21.5,128,Light traffic,100,Hill road,89.47
22,33,Car,Maruti Suzuki,S-Presso,Diesel,1.2,29,93,Normal traffic,55,Hill road,69.66
38,55,Car,Maruti Suzuki,S-Presso,Diesel,1.2,20.5,133,Heavy traffic,85,Local road,96.59
18,28,Car,Maruti Suzuki,S-Presso,Diesel,1.2,32,75,Moderate traffic,45,Hill road,56.25
28,42,Car,Maruti Suzuki,S-Presso,Diesel,1.2,26.5,102,Light traffic,65,Hill road,75.47
32,48,Car,Maruti Suzuki,S-Presso,Diesel,1.2,24,113,Normal traffic,75,Highway,84.68
26,38,Car,Maruti Suzuki,S-Presso,Diesel,1.2,28,96,Moderate traffic,55,Local road,71.43
42,60,Car,Maruti Suzuki,S-Presso,Diesel,1.2,19.8,136,Heavy traffic,95,Hill road,98.18
23,35,Car,Maruti Suzuki,S-Presso,Diesel,1.2,27,100,Light traffic,60,Local road,74.07
36,52,Car,Maruti Suzuki,S-Presso,Diesel,1.2,23,117,Normal traffic,80,Hill road,86.81
19,30,Car,Maruti Suzuki,S-Presso,Diesel,1.2,29.5,91,Heavy traffic,50,Hill road,67.02
30,45,Car,Maruti Suzuki,S-Presso,Diesel,1.2,26,104,Moderate traffic,70,Local road,76.92
27,40,Car,Maruti Suzuki,S-Presso,Diesel,1.2,27.3,99,Light traffic,65,Hill road,73.47
39,57,Car,Maruti Suzuki,S-Presso,Diesel,1.2,20,135,Normal traffic,90,Highway,100.91
30,45,Car,Volkswagen,Polo,Petrol,1,20,135,Heavy traffic,70,Hill road,100.91
25,35,Car,Volkswagen,Polo,Petrol,1,22,123,Moderate traffic,60,Local road,86.81
35,50,Car,Volkswagen,Polo,Petrol,1,18,140,Light traffic,80,Hill road,105
20,30,Car,Volkswagen,Polo,Petrol,1,24,113,Normal traffic,50,Highway,84.68
40,60,Car,Volkswagen,Polo,Petrol,1,16,150,Moderate traffic,90,Local road,112.5
15,25,Car,Volkswagen,Polo,Petrol,1,26,104,Heavy traffic,40,Hill road,78.46
45,65,Car,Volkswagen,Polo,Petrol,1,14.5,165,Light traffic,100,Hill road,123.75
22,33,Car,Volkswagen,Polo,Petrol,1,23,117,Normal traffic,55,Hill road,86.81
38,55,Car,Volkswagen,Polo,Petrol,1,17,141,Heavy traffic,85,Local road,105
18,28,Car,Volkswagen,Polo,Petrol,1,25,108,Moderate traffic,45,Hill road,75.56
28,42,Car,Volkswagen,Polo,Petrol,1,21.5,128,Light traffic,65,Hill road,89.47
32,48,Car,Volkswagen,Polo,Petrol,1,18,140,Normal traffic,75,Highway,105
26,38,Car,Volkswagen,Polo,Petrol,1,22,123,Moderate traffic,55,Local road,86.81
42,60,Car,Volkswagen,Polo,Petrol,1,15.5,160,Heavy traffic,95,Hill road,120
23,35,Car,Volkswagen,Polo,Petrol,1,24,113,Light traffic,60,Local road,84.68
36,52,Car,Volkswagen,Polo,Petrol,1,19,138,Normal traffic,80,Hill road,112.5
19,30,Car,Volkswagen,Polo,Petrol,1,25.5,106,Heavy traffic,50,Hill road,79.29
30,45,Car,Volkswagen,Polo,Petrol,1,20,135,Moderate traffic,70,Local road,100.91
27,40,Car,Volkswagen,Polo,Petrol,1,21,130,Light traffic,65,Hill road,96
39,57,Car,Volkswagen,Polo,Petrol,1,16.5,156,Normal traffic,90,Highway,117
30,45,Car,Volkswagen,Polo,Diesel,1.5,22,123,Heavy traffic,70,Hill road,86.81
25,35,Car,Volkswagen,Polo,Diesel,1.5,24,113,Moderate traffic,60,Local road,84.68
35,50,Car,Volkswagen,Polo,Diesel,1.5,20.5,133,Light traffic,80,Hill road,96.59
20,30,Car,Volkswagen,Polo,Diesel,1.5,26,104,Normal traffic,50,Highway,76.92
40,60,Car,Volkswagen,Polo,Diesel,1.5,18.5,137,Moderate traffic,90,Local road,101.18
15,25,Car,Volkswagen,Polo,Diesel,1.5,27,100,Heavy traffic,40,Hill road,73.47
45,65,Car,Volkswagen,Polo,Diesel,1.5,17,141,Light traffic,100,Hill road,105
22,33,Car,Volkswagen,Polo,Diesel,1.5,23.5,119,Normal traffic,55,Hill road,89.29
38,55,Car,Volkswagen,Polo,Diesel,1.5,16.5,156,Heavy traffic,85,Local road,117
18,28,Car,Volkswagen,Polo,Diesel,1.5,25,108,Moderate traffic,45,Hill road,75.56
28,42,Car,Volkswagen,Polo,Diesel,1.5,20,135,Light traffic,65,Hill road,100.91
32,48,Car,Volkswagen,Polo,Diesel,1.5,18,140,Normal traffic,75,Highway,105
26,38,Car,Volkswagen,Polo,Diesel,1.5,22.5,120,Moderate traffic,55,Local road,87.33
42,60,Car,Volkswagen,Polo,Diesel,1.5,16,150,Heavy traffic,95,Hill road,112.5
23,35,Car,Volkswagen,Polo,Diesel,1.5,24.5,110,Light traffic,60,Local road,81.63
36,52,Car,Volkswagen,Polo,Diesel,1.5,19.5,137,Normal traffic,80,Hill road,101.47
19,30,Car,Volkswagen,Polo,Diesel,1.5,26.5,102,Heavy traffic,50,Hill road,78.46
30,45,Car,Volkswagen,Polo,Diesel,1.5,21.5,128,Moderate traffic,70,Local road,89.47
27,40,Car,Volkswagen,Polo,Diesel,1.5,22,123,Light traffic,65,Hill road,86.81
39,57,Car,Volkswagen,Polo,Diesel,1.5,18,140,Normal traffic,90,Highway,105
50,60,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Heavy traffic,100,Highway,82
30,45,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Moderate traffic,50,Local road,60
20,30,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Light traffic,20,Hill road,82
40,55,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Normal traffic,0,Highway,60
50,60,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Heavy traffic,100,Hill road,82
30,45,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Moderate traffic,50,Highway,60
20,30,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Light traffic,20,Local road,82
40,55,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Normal traffic,0,Hill road,60
50,60,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Heavy traffic,100,Highway,82
30,45,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Moderate traffic,50,Local road,60
20,30,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Light traffic,20,Hill road,82
40,55,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Normal traffic,0,Highway,60
50,60,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Heavy traffic,100,Hill road,82
30,45,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Moderate traffic,50,Highway,60
20,30,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Light traffic,20,Local road,82
40,55,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Normal traffic,0,Hill road,60
50,60,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Heavy traffic,100,Highway,82
30,45,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Moderate traffic,50,Local road,60
20,30,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Light traffic,20,Hill road,82
40,55,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Normal traffic,0,Highway,60
50,60,Car,Hyundai,Grand i10,Petrol,1.2,19,108,Heavy traffic,100,Hill road,82
30,45,Car,Hyundai,Grand i10,Diesel,1.2,24,90,Moderate traffic,50,Highway,60
